"operationId","method","path","sdkGroup","sdkMethod","sdkNaming","liveStatus","sdkSurface","sdkEvidence","mcpTool","mcpStatus","mcpEvidence","cliSurface","cliEvidence","testEvidence","docEvidence"
"getMemberProfile","GET","/workspaces/{workspaceId}/member-profile/{userId}","memberProfiles","get","explicit","live-success","present","wrapper/src/api/resources/memberProfiles/client/Client.ts (generated)","clockify_member_profile_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"updateMemberProfile","PATCH","/workspaces/{workspaceId}/member-profile/{userId}","memberProfiles","update","explicit","live-success","present","wrapper/src/api/resources/memberProfiles/client/Client.ts (generated)","clockify_member_profile_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspaceProjects","GET","/workspaces/{workspaceId}/projects","projects","list","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","clockify_projects_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createProject","POST","/workspaces/{workspaceId}/projects","projects","create","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","clockify_projects_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createProjectFromTemplate","POST","/workspaces/{workspaceId}/projects/from-template","projects","createFromTemplate","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_projects_create_from_template; overrideReason=null","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getProjectById","GET","/workspaces/{workspaceId}/projects/{projectId}","projects","get","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","clockify_projects_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProject","PUT","/workspaces/{workspaceId}/projects/{projectId}","projects","update","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","clockify_projects_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteProject","DELETE","/workspaces/{workspaceId}/projects/{projectId}","projects","delete","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","clockify_projects_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"listProjectCustomFields","GET","/workspaces/{workspaceId}/projects/{projectId}/custom-fields","customFields","listForProject","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_list_for_project; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProjectCustomField","PATCH","/workspaces/{workspaceId}/projects/{projectId}/custom-fields/{customFieldId}","customFields","updateForProject","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_update_for_project; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"removeProjectCustomField","DELETE","/workspaces/{workspaceId}/projects/{projectId}/custom-fields/{customFieldId}","customFields","removeFromProject","explicit","live-success","present","wrapper/src/api/resources/customFields/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_custom_fields_remove_from_project; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","mcp/tests/customFields.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProjectEstimate","PATCH","/workspaces/{workspaceId}/projects/{projectId}/estimate","projects","updateEstimate","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_projects_update_estimate; overrideReason=null","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"assignOrRemoveProjectUsers","POST","/workspaces/{workspaceId}/projects/{projectId}/memberships","projects","setMembers","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_projects_set_members; overrideReason=null","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProjectMemberships","PATCH","/workspaces/{workspaceId}/projects/{projectId}/memberships","projects","updateMemberships","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","clockify_projects_memberships_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"findTasksOnProject","GET","/workspaces/{workspaceId}/projects/{projectId}/tasks","tasks","list","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","clockify_tasks_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"addTaskOnProject","POST","/workspaces/{workspaceId}/projects/{projectId}/tasks","tasks","create","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","clockify_tasks_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getTaskById","GET","/workspaces/{workspaceId}/projects/{projectId}/tasks/{taskId}","tasks","get","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","clockify_tasks_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateTaskOnProject","PUT","/workspaces/{workspaceId}/projects/{projectId}/tasks/{taskId}","tasks","update","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","clockify_tasks_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteTaskFromProject","DELETE","/workspaces/{workspaceId}/projects/{projectId}/tasks/{taskId}","tasks","delete","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","clockify_tasks_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateTaskCostRate","PUT","/workspaces/{workspaceId}/projects/{projectId}/tasks/{taskId}/cost-rate","tasks","updateCostRate","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_tasks_update_cost_rate; overrideReason=null","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateTaskBillableRate","PUT","/workspaces/{workspaceId}/projects/{projectId}/tasks/{taskId}/hourly-rate","tasks","updateBillableRate","explicit","live-success","present","wrapper/src/api/resources/tasks/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_tasks_update_billable_rate; overrideReason=null","group-command","cli/src/commands/tasks.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/tasks-tool.test.ts,rates.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProjectTemplate","PATCH","/workspaces/{workspaceId}/projects/{projectId}/template","projects","updateTemplate","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_projects_update_template; overrideReason=null","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProjectUserCostRate","PUT","/workspaces/{workspaceId}/projects/{projectId}/users/{userId}/cost-rate","projects","updateUserCostRate","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_projects_update_user_cost_rate; overrideReason=null","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateProjectUserHourlyRate","PUT","/workspaces/{workspaceId}/projects/{projectId}/users/{userId}/hourly-rate","projects","updateUserHourlyRate","explicit","live-success","present","wrapper/src/api/resources/projects/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_projects_update_user_hourly_rate; overrideReason=null","group-command","cli/src/commands/projects.ts","cli/tests/crud.test.ts,read-commands-projects-tasks.test.ts; mcp/tests/projects-next.test.ts,project-memberships.test.ts,archive-then-delete.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"generateAttendanceReport","POST","/workspaces/{workspaceId}/reports/attendance","reports","attendance","explicit","live-success","present","wrapper/src/api/resources/reports/client/Client.ts (generated)","clockify_reports_attendance","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/reports.ts","wrapper/tests/reports.test.ts; cli/tests/reports.test.ts; mcp/tests/reports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"generateDetailedReport","POST","/workspaces/{workspaceId}/reports/detailed","reports","detailed","explicit","live-success","present","wrapper/src/api/resources/reports/client/Client.ts (generated)","clockify_reports_detailed","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/reports.ts","wrapper/tests/reports.test.ts; cli/tests/reports.test.ts; mcp/tests/reports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"generateDetailedReportV1","POST","/workspaces/{workspaceId}/reports/expenses/detailed","(derived)","generateDetailedReportV1","operationId-derived","live-success","present","wrapper/src/api/resources/expenseReport/client/Client.ts (generated; derived group expenseReport)","clockify_expenses_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"generateSummaryReport","POST","/workspaces/{workspaceId}/reports/summary","reports","summary","explicit","live-success","present","wrapper/src/api/resources/reports/client/Client.ts (generated)","clockify_reports_summary","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/reports.ts","wrapper/tests/reports.test.ts; cli/tests/reports.test.ts; mcp/tests/reports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"generateWeeklyReport","POST","/workspaces/{workspaceId}/reports/weekly","reports","weekly","explicit","live-success","present","wrapper/src/api/resources/reports/client/Client.ts (generated)","clockify_reports_weekly","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/reports.ts","wrapper/tests/reports.test.ts; cli/tests/reports.test.ts; mcp/tests/reports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getAllSchedulingAssignments","GET","/workspaces/{workspaceId}/scheduling/assignments/all","scheduling","list","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_list; overrideReason=null","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getScheduledAssignmentsPerProject","POST","/workspaces/{workspaceId}/scheduling/assignments/projects/totals","scheduling","listPerProject","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","clockify_scheduling_assignments_list_per_project","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getScheduledAssignmentsOnProject","GET","/workspaces/{workspaceId}/scheduling/assignments/projects/totals/{projectId}","scheduling","listOnProject","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_list_on_project; overrideReason=null","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"publishAssignments","PUT","/workspaces/{workspaceId}/scheduling/assignments/publish","scheduling","publish","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","clockify_scheduling_publish","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"createRecurringAssignment","POST","/workspaces/{workspaceId}/scheduling/assignments/recurring","scheduling","createRecurring","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_create_recurring; overrideReason=null","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"updateRecurringAssignment","PATCH","/workspaces/{workspaceId}/scheduling/assignments/recurring/{assignmentId}","scheduling","updateRecurring","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_update_recurring; overrideReason=null","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteRecurringAssignment","DELETE","/workspaces/{workspaceId}/scheduling/assignments/recurring/{assignmentId}","scheduling","deleteRecurring","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_delete_recurring; overrideReason=null","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"changeRecurringPeriod","PUT","/workspaces/{workspaceId}/scheduling/assignments/series/{assignmentId}","(derived)","changeRecurringPeriod","operationId-derived","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated; derived group scheduling)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_change_recurring_period; overrideReason=null","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"getUsersCapacityTotals","POST","/workspaces/{workspaceId}/scheduling/assignments/user-filter/totals","scheduling","getUsersCapacityFiltered","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","clockify_scheduling_capacity","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getUserCapacityTotal","GET","/workspaces/{workspaceId}/scheduling/assignments/users/{userId}/totals","scheduling","getUserCapacity","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","","unexposed","docs/operation-parity.json tsMcp=null; candidateTools=clockify_scheduling_get_user_capacity; overrideReason=null","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"copyScheduledAssignment","POST","/workspaces/{workspaceId}/scheduling/assignments/{assignmentId}/copy","scheduling","copy","explicit","live-success","present","wrapper/src/api/resources/scheduling/client/Client.ts (generated)","clockify_scheduling_copy","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/scheduling.ts","cli/tests/read-commands-scheduling.test.ts; mcp/tests/scheduling.test.ts,scheduling-copy.test.ts,scheduling-resolve.test.ts,scheduling-totals.test.ts,iter-maxpages.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdSharedReports","GET","/workspaces/{workspaceId}/shared-reports","sharedReports","list","explicit","live-success","present","wrapper/src/api/resources/sharedReports/client/Client.ts (generated)","clockify_shared_reports_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/sharedReports.ts","cli/tests/read-commands-users-tags-shared-reports.test.ts; mcp/tests/sharedReports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"postWorkspacesWorkspaceIdSharedReports","POST","/workspaces/{workspaceId}/shared-reports","sharedReports","create","explicit","live-success","present","wrapper/src/api/resources/sharedReports/client/Client.ts (generated)","clockify_shared_reports_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/sharedReports.ts","cli/tests/read-commands-users-tags-shared-reports.test.ts; mcp/tests/sharedReports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"putWorkspacesWorkspaceIdSharedReportsSharedReportId","PUT","/workspaces/{workspaceId}/shared-reports/{sharedReportId}","sharedReports","update","explicit","live-success","present","wrapper/src/api/resources/sharedReports/client/Client.ts (generated)","clockify_shared_reports_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/sharedReports.ts","cli/tests/read-commands-users-tags-shared-reports.test.ts; mcp/tests/sharedReports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteWorkspacesWorkspaceIdSharedReportsSharedReportId","DELETE","/workspaces/{workspaceId}/shared-reports/{sharedReportId}","sharedReports","delete","explicit","live-success","present","wrapper/src/api/resources/sharedReports/client/Client.ts (generated)","clockify_shared_reports_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/sharedReports.ts","cli/tests/read-commands-users-tags-shared-reports.test.ts; mcp/tests/sharedReports.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdTags","GET","/workspaces/{workspaceId}/tags","tags","list","explicit","live-success","present","wrapper/src/api/resources/tags/client/Client.ts (generated)","clockify_tags_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tags.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts,read-commands-users-tags-shared-reports.test.ts; mcp/tests/tags.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"postWorkspacesWorkspaceIdTags","POST","/workspaces/{workspaceId}/tags","tags","create","explicit","live-success","present","wrapper/src/api/resources/tags/client/Client.ts (generated)","clockify_tags_create","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tags.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts,read-commands-users-tags-shared-reports.test.ts; mcp/tests/tags.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdTagsTagId","GET","/workspaces/{workspaceId}/tags/{tagId}","tags","get","explicit","live-success","present","wrapper/src/api/resources/tags/client/Client.ts (generated)","clockify_tags_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tags.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts,read-commands-users-tags-shared-reports.test.ts; mcp/tests/tags.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"putWorkspacesWorkspaceIdTagsTagId","PUT","/workspaces/{workspaceId}/tags/{tagId}","tags","update","explicit","live-success","present","wrapper/src/api/resources/tags/client/Client.ts (generated)","clockify_tags_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tags.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts,read-commands-users-tags-shared-reports.test.ts; mcp/tests/tags.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"deleteWorkspacesWorkspaceIdTagsTagId","DELETE","/workspaces/{workspaceId}/tags/{tagId}","tags","delete","explicit","live-success","present","wrapper/src/api/resources/tags/client/Client.ts (generated)","clockify_tags_delete","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/tags.ts","wrapper/tests/sandbox.test.ts; cli/tests/crud.test.ts,read-commands-users-tags-shared-reports.test.ts; mcp/tests/tags.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"postWorkspacesWorkspaceIdTimeEntries","POST","/workspaces/{workspaceId}/time-entries","timeEntries","create","explicit","live-success","present","wrapper/src/api/resources/timeEntries/client/Client.ts (generated)","clockify_entries_log","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/entries.ts / start.ts / stop.ts / status.ts / log.ts","wrapper/tests/iter.test.ts,wire-shape-http.test.ts,generated-retry-delay.test.ts; cli/tests/entries.test.ts,start.test.ts,stop.test.ts,status.test.ts,log.test.ts; mcp/tests/entries.test.ts,work-time-tracking.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getMultipleTimeEntries","POST","/workspaces/{workspaceId}/time-entries/batch","(derived)","getMultipleTimeEntries","operationId-derived","live-success","present","wrapper/src/api/resources/timeEntries/client/Client.ts (generated; derived group timeEntries)","clockify_entries_get_many","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","raw-fallback-only (clk115 api)","cli/src/commands/api.ts","none found (per-op)","docs/openapi-operations.md; docs/operation-parity.json"
"patchWorkspacesWorkspaceIdTimeEntriesInvoiced","PATCH","/workspaces/{workspaceId}/time-entries/invoiced","timeEntries","markInvoiced","explicit","live-success","present","wrapper/src/api/resources/timeEntries/client/Client.ts (generated)","clockify_entries_mark_invoiced","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/entries.ts / start.ts / stop.ts / status.ts / log.ts","wrapper/tests/iter.test.ts,wire-shape-http.test.ts,generated-retry-delay.test.ts; cli/tests/entries.test.ts,start.test.ts,stop.test.ts,status.test.ts,log.test.ts; mcp/tests/entries.test.ts,work-time-tracking.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdTimeEntriesStatusInProgress","GET","/workspaces/{workspaceId}/time-entries/status/in-progress","timeEntries","listInProgress","explicit","live-success","present","wrapper/src/api/resources/timeEntries/client/Client.ts (generated)","clockify_entries_list","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/entries.ts / start.ts / stop.ts / status.ts / log.ts","wrapper/tests/iter.test.ts,wire-shape-http.test.ts,generated-retry-delay.test.ts; cli/tests/entries.test.ts,start.test.ts,stop.test.ts,status.test.ts,log.test.ts; mcp/tests/entries.test.ts,work-time-tracking.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"getWorkspacesWorkspaceIdTimeEntriesTimeEntryId","GET","/workspaces/{workspaceId}/time-entries/{timeEntryId}","timeEntries","get","explicit","live-success","present","wrapper/src/api/resources/timeEntries/client/Client.ts (generated)","clockify_entries_get","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/entries.ts / start.ts / stop.ts / status.ts / log.ts","wrapper/tests/iter.test.ts,wire-shape-http.test.ts,generated-retry-delay.test.ts; cli/tests/entries.test.ts,start.test.ts,stop.test.ts,status.test.ts,log.test.ts; mcp/tests/entries.test.ts,work-time-tracking.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
"putWorkspacesWorkspaceIdTimeEntriesTimeEntryId","PUT","/workspaces/{workspaceId}/time-entries/{timeEntryId}","timeEntries","update","explicit","live-success","present","wrapper/src/api/resources/timeEntries/client/Client.ts (generated)","clockify_entries_update","present","docs/operation-parity.json tsMcp; mcp/src/tools/**","group-command","cli/src/commands/entries.ts / start.ts / stop.ts / status.ts / log.ts","wrapper/tests/iter.test.ts,wire-shape-http.test.ts,generated-retry-delay.test.ts; cli/tests/entries.test.ts,start.test.ts,stop.test.ts,status.test.ts,log.test.ts; mcp/tests/entries.test.ts,work-time-tracking.test.ts","docs/openapi-operations.md; docs/operation-parity.json"
